date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:04	59566/59566	---M-Z	200	added ('OK')	text/html	etag:%22e8ae-5e1b7b6e-825ee488a1ce6249;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html	(from )
23:48:05	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Apr%202020%2018:18:04%20GMT	http://cvresumetemplate.com/robots.txt		(from )
23:48:05	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5c5038be-a8c53c928abcefd1;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:05	99/99	---M--	200	added ('OK')	image/png	etag:%2263-5c5038ee-4855398ca9d59dab;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:06	86/86	---M--	200	added ('OK')	image/png	etag:%2256-5c5038ee-9018c60ab902287c;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:07	94/94	---M--	200	added ('OK')	image/png	etag:%225e-5c5038ee-38015647543954cf;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:07	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5bc4c7b8-c872b8830964bd07;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:07	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5bb251ec-77aca73abfa28d64;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:07	43977/43977	---M-Z	200	added ('OK')	text/css	etag:%22abc9-5bb25670-8c512dd0a32d1fe1;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:08	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5bb25670-ce730ffc1efe3463;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:08	10424/10424	---M-Z	200	added ('OK')	text/css	etag:%2228b8-5bddc2fc-1eee9b4dd1742500;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/jquery.fancybox.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:08	83890/83890	---M-Z	200	added ('OK')	text/css	etag:%22147b2-5e639506-8d71864eebe2e6d9;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/styles.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:08	15879/15879	---M-Z	200	added ('OK')	text/css	etag:%223e07-5e1ce568-8bacf2b60c728e33;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/responsive.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:09	3302/3302	---M-Z	200	added ('OK')	text/css	etag:%22ce6-5e1ce564-ca6551578a4e0261;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/blue.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:09	0/0	---M--	200	added ('OK')	text/css	etag:%220-5c3a1a44-89bf5863a9b6247c;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/defauld.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
23:48:10	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-5e1ce564-cf8a39a3e3d810d2;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	E:/Django%20ptojects/mysiteHTML/portfolio/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/css/colors/green.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
